Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
	40266	40270	4	9.933939303630854e-05	4.35694
1	5	13	8	1.6
10	3	17	14	4.666666666666667
11	2	5	3	1.5
12	2	15	13	6.5
13	2	8	6	3.0
14	3	7	4	1.3333333333333333
15	2	6	4	2.0
1500	1	2	1	1.0
1572	1	8	7	7.0
16	2	8	6	3.0
1610	1	1	0	0.0
1625	2	5	3	1.5
1627	4	7	3	0.75
1628	5	20	15	3.0
1633	1	2	1	1.0
1672	1	11	10	10.0
17	2	9	7	3.5
18	2	7	5	2.5
19	2	12	10	5.0
1a	1	4	3	3.0
1b	1	4	3	3.0
1c	2	6	4	2.0
1d	1	8	7	7.0
1e	2	4	2	1.0
1e1	5	22	17	3.4
1e2	1	8	7	7.0
1e3	1	15	14	14.0
1e4	1	3	2	2.0
1e5	1	8	7	7.0
1e6	1	14	13	13.0
1e7	3	13	10	3.3333333333333335
1e8	4	7	3	0.75
1e9	3	25	22	7.333333333333333
1f	1	12	11	11.0
1f1	1	10	9	9.0
1f2	1	6	5	5.0
1f3	5	10	5	1.0
1f4	1	4	3	3.0
1f5	1	15	14	14.0
1f6	1	15	14	14.0
2	3	8	5	1.6666666666666667
20	3	4	1	0.3333333333333333
2001	1	1	0	0.0
21	2	14	12	6.0
22	2	9	7	3.5
23	4	14	10	2.5
24	2	11	9	4.5
25	4	21	17	4.25
26	2	3	1	0.5
27	2	7	5	2.5
28	2	10	8	4.0
29	2	7	5	2.5
3	8	14	6	0.75
30	3	6	3	1.0
31	2	6	4	2.0
32	2	9	7	3.5
33	2	8	6	3.0
34	2	13	11	5.5
35	2	7	5	2.5
36	2	20	18	9.0
37	2	9	7	3.5
38	2	17	15	7.5
39	2	9	7	3.5
4	5	17	12	2.4
40	2	2	0	0.0
41	2	3	1	0.5
42	2	7	5	2.5
43	2	10	8	4.0
44	2	9	7	3.5
45	2	10	8	4.0
46	2	8	6	3.0
47	2	15	13	6.5
4772	1	13	12	12.0
4773	1	7	6	6.0
48	2	8	6	3.0
49	2	8	6	3.0
5	3	8	5	1.6666666666666667
50	4	12	8	2.0
5000	1	4	3	3.0
501c3	1	6	5	5.0
51	2	17	15	7.5
52	2	10	8	4.0
53	2	11	9	4.5
54	2	10	8	4.0
55	2	17	15	7.5
56	2	6	4	2.0
57	2	5	3	1.5
58	2	11	9	4.5
59	2	14	12	6.0
5961887	1	3	2	2.0
6	3	4	1	0.3333333333333333
60	3	12	9	3.0
61	2	6	4	2.0
62	2	6	4	2.0
63	2	24	22	11.0
64	2	8	6	3.0
646221541	1	2	1	1.0
65	2	4	2	1.0
66	2	2	0	0.0
67	2	13	11	5.5
7	2	4	2	1.0
75	3	5	2	0.6666666666666666
8	2	10	8	4.0
801	1	8	7	7.0
809	1	4	3	3.0
84116	1	6	5	5.0
9	2	7	5	2.5
90	2	9	7	3.5
a	4754	4758	4	0.0008413967185527977
abandon	11	28	17	1.5454545454545454
abandoned	20	20	0	0.0
abandoning	5	9	4	0.8
abandonment	1	8	7	7.0
abandons	4	8	4	1.0
abasement	1	18	17	17.0
abated	1	10	9	9.0
abatement	1	6	5	5.0
abb	16	24	8	0.5
abbess	31	38	7	0.22580645161290322
abbey	3	8	5	1.6666666666666667
abducted	14	25	11	0.7857142857142857
abduction	11	17	6	0.5454545454545454
abductor	1	8	7	7.0
abed	2	10	8	4.0
abhorred	1	4	3	3.0
abhors	1	21	20	20.0
abide	1	9	8	8.0
abiding	1	2	1	1.0
abjure	1	25	24	24.0
able	58	101	43	0.7413793103448276
ablest	1	4	3	3.0
ableto	1	14	13	13.0
ably	1	4	3	3.0
aboard	2	10	8	4.0
abode	7	10	3	0.42857142857142855
abodes	1	4	3	3.0
abominable	1	16	15	15.0
about	309	319	10	0.032362459546925564
aboutstop	1	10	9	9.0
above	35	39	4	0.11428571428571428
abreast	1	8	7	7.0
abridged	2	9	7	3.5
abroad	2	7	5	2.5
abroadin	1	7	6	6.0
absence	25	33	8	0.32
absences	1	9	8	8.0
absent	5	5	0	0.0
absented	1	7	6	6.0
absolute	1	9	8	8.0
absolutely	15	21	6	0.4
absolution	3	26	23	7.666666666666667
absorbed	4	12	8	2.0
absorbs	1	2	1	1.0
abstinence	1	6	5	5.0
abstinencewhile	1	6	5	5.0
abstracted	1	23	22	22.0
abundance	2	10	8	4.0
abundant	3	9	6	2.0
abundantly	1	9	8	8.0
abuse	7	10	3	0.42857142857142855
abused	4	10	6	1.5
abusing	1	7	6	6.0
abyss	5	9	4	0.8
abysses	2	8	6	3.0
academy	2	15	13	6.5
acadmie	2	9	7	3.5
accelerate	1	4	3	3.0
accent	21	26	5	0.23809523809523808
accept	25	32	7	0.28
accepted	9	10	1	0.1111111111111111
accepting	4	6	2	0.5
access	12	15	3	0.25
accessed	1	16	15	15.0
accessible	1	6	5	5.0
accessory	2	3	1	0.5
accident	13	32	19	1.4615384615384615
accidental	1	14	13	13.0
accidents	5	19	14	2.8
acclamations	2	5	3	1.5
accommodated	1	24	23	23.0
accompanied	34	46	12	0.35294117647058826
accompanies	1	3	2	2.0
accompany	16	22	6	0.375
accompanying	2	15	13	6.5
accomplice	14	24	10	0.7142857142857143
accomplices	1	5	4	4.0
accomplish	9	22	13	1.4444444444444444
accomplished	9	20	11	1.2222222222222223
accomplishing	2	10	8	4.0
accomplishment	2	10	8	4.0
accord	4	12	8	2.0
accordance	2	8	6	3.0
accorded	1	26	25	25.0
according	35	37	2	0.05714285714285714
accordingly	4	14	10	2.5
accosted	4	9	5	1.25
account	60	61	1	0.016666666666666666
accountable	1	5	4	4.0
accounts	5	15	10	2.0
accuracy	2	3	1	0.5
accurate	1	9	8	8.0
accursed	4	18	14	3.5
accusation	7	10	3	0.42857142857142855
accusations	4	14	10	2.5
accuse	14	18	4	0.2857142857142857
accused	15	23	8	0.5333333333333333
accuser	2	10	8	4.0
accuses	2	8	6	3.0
accusing	4	7	3	0.75
accustom	2	4	2	1.0
accustomed	27	47	20	0.7407407407407407
accustomedthe	1	23	22	22.0
aces	1	7	6	6.0
achieved	1	7	6	6.0
achilles	2	9	7	3.5
acknowledge	7	27	20	2.857142857142857
acknowledged	6	13	7	1.1666666666666667
acknowledges	1	10	9	9.0
acknowledging	2	9	7	3.5
acolyte	1	2	1	1.0
acquaintance	13	17	4	0.3076923076923077
acquaintancein	1	5	4	4.0
acquaintances	2	5	3	1.5
acquainted	33	33	0	0.0
acquiesced	2	6	4	2.0
acquired	10	17	7	0.7
