Words	Exact	CMS	Abs_Err	Rel_Err	Rel_Err_Mean
	40266	40266	0	0.0	0.00034
1	5	5	0	0.0
10	3	3	0	0.0
11	2	2	0	0.0
12	2	2	0	0.0
13	2	2	0	0.0
14	3	3	0	0.0
15	2	2	0	0.0
1500	1	1	0	0.0
1572	1	1	0	0.0
16	2	2	0	0.0
1610	1	1	0	0.0
1625	2	2	0	0.0
1627	4	4	0	0.0
1628	5	5	0	0.0
1633	1	1	0	0.0
1672	1	1	0	0.0
17	2	2	0	0.0
18	2	2	0	0.0
19	2	2	0	0.0
1a	1	1	0	0.0
1b	1	1	0	0.0
1c	2	2	0	0.0
1d	1	1	0	0.0
1e	2	2	0	0.0
1e1	5	5	0	0.0
1e2	1	1	0	0.0
1e3	1	1	0	0.0
1e4	1	1	0	0.0
1e5	1	1	0	0.0
1e6	1	1	0	0.0
1e7	3	3	0	0.0
1e8	4	4	0	0.0
1e9	3	3	0	0.0
1f	1	1	0	0.0
1f1	1	1	0	0.0
1f2	1	1	0	0.0
1f3	5	5	0	0.0
1f4	1	1	0	0.0
1f5	1	1	0	0.0
1f6	1	1	0	0.0
2	3	3	0	0.0
20	3	3	0	0.0
2001	1	1	0	0.0
21	2	2	0	0.0
22	2	2	0	0.0
23	4	4	0	0.0
24	2	2	0	0.0
25	4	4	0	0.0
26	2	2	0	0.0
27	2	2	0	0.0
28	2	2	0	0.0
29	2	2	0	0.0
3	8	8	0	0.0
30	3	3	0	0.0
31	2	2	0	0.0
32	2	2	0	0.0
33	2	2	0	0.0
34	2	2	0	0.0
35	2	2	0	0.0
36	2	2	0	0.0
37	2	2	0	0.0
38	2	2	0	0.0
39	2	2	0	0.0
4	5	5	0	0.0
40	2	2	0	0.0
41	2	2	0	0.0
42	2	2	0	0.0
43	2	2	0	0.0
44	2	2	0	0.0
45	2	2	0	0.0
46	2	2	0	0.0
47	2	2	0	0.0
4772	1	1	0	0.0
4773	1	1	0	0.0
48	2	2	0	0.0
49	2	2	0	0.0
5	3	3	0	0.0
50	4	4	0	0.0
5000	1	1	0	0.0
501c3	1	1	0	0.0
51	2	2	0	0.0
52	2	2	0	0.0
53	2	2	0	0.0
54	2	2	0	0.0
55	2	2	0	0.0
56	2	2	0	0.0
57	2	2	0	0.0
58	2	2	0	0.0
59	2	2	0	0.0
5961887	1	1	0	0.0
6	3	3	0	0.0
60	3	3	0	0.0
